Tempo;Forca Motriz;Tracao;Energia
45,1556178;5000;5000;0,2603801299
45,1576053;5000;5000;0,2603801299
45,1596094;5000;5000;0,2603801299
45,1616092;5000;5000;0,2603801299
45,1636137;5000;5000;0,2603801299
45,166057;5000;5000;0,2603801299
45,1681405;5000;5000;0,2603801299
45,1701318;5000;5000;0,2603801299
45,1721231;5000;5000;0,2603801299
45,1746785;5000;5000;0,2603801299
45,1776041;5000;5000;0,2603801299
45,1796165;5000;5000;0,2603801299
45,1816032;5000;5000;0,2603801299
45,1835548;5000;5000;0,2603801299
45,1861303;5000;5000;0,2603801299
45,1885699;5000;5000;0,2603801299
45,1906016;5000;5000;0,2603801299
45,1936747;5000;5000;0,2603801299
45,1957716;5000;5000;0,2603801299
45,1987564;5000;5000;0,2603801299
45,200757;5000;5000;0,2603801299
45,2037757;5000;5000;0,2603801299
45,2073079;5000;5000;0,2603801299
45,2103389;5000;5000;0,2603801299
45,213844;5000;5000;0,2603801299
45,2173638;5000;5000;0,2603801299
45,2204037;5000;5000;0,2603801299
45,2238549;5000;5000;0,2603801299
45,228274;5000;5000;0,2603801299
45,2305151;5000;5000;0,2603801299
45,2337981;5000;5000;0,2603801299
45,2364419;5000;5000;0,2603801299
45,2403313;5000;5000;0,2603801299
45,2435159;5000;5000;0,2603801299
45,2468223;5000;5000;0,2603801299
45,2490331;5000;5000;0,2603801299
45,2523566;5000;5000;0,2603801299
45,2550467;5000;5000;0,2603801299
45,257494;5000;5000;0,2603801299
45,2596772;5000;5000;0,2603801299
45,2624957;5000;5000;0,2603801299
45,2646146;5000;5000;0,2603801299
45,2666157;5000;5000;0,2603801299
45,2686158;5000;5000;0,2603801299
45,2716125;5000;5000;0,2603801299
45,2736155;5000;5000;0,2603801299
45,2791251;5000;5000;0,2603801299
45,2821951;5000;5000;0,2603801299
45,2856436;5000;5000;0,2603801299
45,2886439;5000;5000;0,2603801299
45,2916407;5000;5000;0,2603801299
45,2941503;5000;5000;0,2603801299
45,2961587;5000;5000;0,2603801299
45,2991572;5000;5000;0,2603801299
45,3011621;5000;5000;0,2603801299
45,3036941;5000;5000;0,2603801299
45,3056702;5000;5000;0,2603801299
45,3076676;5000;5000;0,2603801299
45,3101779;5000;5000;0,2603801299
45,3121739;5000;5000;0,2603801299
45,3147021;5000;5000;0,2603801299
45,316691;5000;5000;0,2603801299
45,3186949;5000;5000;0,2603801299
45,3207239;5000;5000;0,2603801299
45,3237367;5000;5000;0,2603801299
45,3262343;5000;5000;0,2603801299
45,3282058;5000;5000;0,2603801299
45,330201;5000;5000;0,2603801299
45,3321939;5000;5000;0,2603801299
45,3347322;5000;5000;0,2603801299
45,3367112;5000;5000;0,2603801299
45,3387141;5000;5000;0,2603801299
45,3407247;5000;5000;0,2603801299
45,3427528;5000;5000;0,2603801299
45,3448426;5000;5000;0,2603801299
45,3468728;5000;5000;0,2603801299
45,3488157;5000;5000;0,2603801299
45,3508162;5000;5000;0,2603801299
45,3528675;5000;5000;0,2603801299
45,3548387;5000;5000;0,2603801299
45,3568354;5000;5000;0,2603801299
45,3588362;5000;5000;0,2603801299
45,3608426;5000;5000;0,2603801299
45,3628475;5000;5000;0,2603801299
45,3649953;5000;5000;0,2603801299
45,3669835;5000;5000;0,2603801299
45,3700697;5000;5000;0,2603801299
45,372006;5000;5000;0,2603801299
45,3745519;5000;5000;0,2603801299
45,3774935;5000;5000;0,2603801299
45,3795529;5000;5000;0,2603801299
45,3814968;5000;5000;0,2603801299
45,3835457;5000;5000;0,2603801299
45,3859655;5000;5000;0,2603801299
45,3879276;5000;5000;0,2603801299
45,3909181;5000;5000;0,2603801299
45,393422;5000;5000;0,2603801299
45,3953999;5000;5000;0,2603801299
45,3974231;5000;5000;0,2603801299
45,39948;5000;5000;0,2603801299
45,4013982;5000;5000;0,2603801299
45,4034025;5000;5000;0,2603801299
45,4059533;5000;5000;0,2603801299
45,4086226;5000;5000;0,2603801299
45,4112539;5000;5000;0,2603801299
45,4138264;5000;5000;0,2603801299
45,4159532;5000;5000;0,2603801299
45,4179901;5000;5000;0,2603801299
45,4200603;5000;5000;0,2603801299
45,4227285;5000;5000;0,2603801299
45,424819;5000;5000;0,2603801299
45,4280311;5000;5000;0,2603801299
45,430072;5000;5000;0,2603801299
45,4320949;5000;5000;0,2603801299
45,4348406;5000;5000;0,2603801299
45,4368032;5000;5000;0,2603801299
45,4399664;5000;5000;0,2603801299
45,4428531;5000;5000;0,2603801299
45,4450127;5000;5000;0,2603801299
45,4470811;5000;5000;0,2603801299
45,4490813;5000;5000;0,2603801299
45,4511546;5000;5000;0,2603801299
45,4536478;5000;5000;0,2603801299
45,4556311;5000;5000;0,2603801299
45,4576499;5000;5000;0,2603801299
45,4595959;5000;5000;0,2603801299
45,4618153;5000;5000;0,2603801299
45,4636846;5000;5000;0,2603801299
45,4657917;5000;5000;0,2603801299
45,4678035;5000;5000;0,2603801299
45,4697858;5000;5000;0,2603801299
45,4782758;5000;5000;0,2603801299
45,4802736;5000;5000;0,2603801299
45,482271;5000;5000;0,2603801299
45,4848555;5000;5000;0,2603801299
45,4869012;5000;5000;0,2603801299
45,4888546;5000;5000;0,2603801299
45,4908603;5000;5000;0,2603801299
45,4930039;5000;5000;0,2603801299
45,4954693;5000;5000;0,2603801299
45,4975215;5000;5000;0,2603801299
45,4994564;5000;5000;0,2603801299
45,5016011;5000;5000;0,2603801299
45,5035692;5000;5000;0,2603801299
45,5055708;5000;5000;0,2603801299
45,5075649;5000;5000;0,2603801299
45,5101282;5000;5000;0,2603801299
45,5121609;5000;5000;0,2603801299
45,5146494;5000;5000;0,2603801299
45,5170019;5000;5000;0,2603801299
45,5189966;5000;5000;0,2603801299
45,5210757;5000;5000;0,2603801299
45,5236492;5000;5000;0,2603801299
45,5255759;5000;5000;0,2603801299
45,5286107;5000;5000;0,2603801299
45,5305867;5000;5000;0,2603801299
45,5339484;5000;5000;0,2603801299
45,5366996;5000;5000;0,2603801299
45,5386642;5000;5000;0,2603801299
45,5406654;5000;5000;0,2603801299
45,5437354;5000;5000;0,2603801299
45,5461947;5000;5000;0,2603801299
45,5481849;5000;5000;0,2603801299
45,5501809;5000;5000;0,2603801299
45,552241;5000;5000;0,2603801299
45,5548595;5000;5000;0,2603801299
45,5567683;5000;5000;0,2603801299
45,5587044;5000;5000;0,2603801299
45,5607529;5000;5000;0,2603801299
45,5627168;5000;5000;0,2603801299
45,5647674;5000;5000;0,2603801299
45,5667673;5000;5000;0,2603801299
45,5692114;5000;5000;0,2603801299
45,5712206;5000;5000;0,2603801299
45,573715;5000;5000;0,2603801299
45,5797621;5000;5000;0,2603801299
45,5818401;5000;5000;0,2603801299
45,5837638;5000;5000;0,2603801299
45,5862958;5000;5000;0,2603801299
45,5882381;5000;5000;0,2603801299
45,5902354;5000;5000;0,2603801299
45,5924207;5000;5000;0,2603801299
45,5954977;5000;5000;0,2603801299
45,5980367;5000;5000;0,2603801299
45,5999803;5000;5000;0,2603801299
45,6019781;5000;5000;0,2603801299
45,6045314;5000;5000;0,2603801299
45,6065099;5000;5000;0,2603801299
45,6084891;5000;5000;0,2603801299
45,6110589;5000;5000;0,2603801299
45,6135568;5000;5000;0,2603801299
45,615641;5000;5000;0,2603801299
45,6175548;5000;5000;0,2603801299
45,6195555;5000;5000;0,2603801299
45,6217955;5000;5000;0,2603801299
45,6248382;5000;5000;0,2603801299
45,6279138;5000;5000;0,2603801299
45,6308738;5000;5000;0,2603801299
45,6330132;5000;5000;0,2603801299
45,635451;5000;5000;0,2603801299
45,6374962;5000;5000;0,2603801299
45,6394019;5000;5000;0,2603801299
45,6424039;5000;5000;0,2603801299
45,6445984;5000;5000;0,2603801299
45,6466932;5000;5000;0,2603801299
45,648536;5000;5000;0,2603801299
45,6505231;5000;5000;0,2603801299
45,6526494;5000;5000;0,2603801299
45,6551544;5000;5000;0,2603801299
45,6570487;5000;5000;0,2603801299
45,6590799;5000;5000;0,2603801299
45,6610473;5000;5000;0,2603801299
45,6636123;5000;5000;0,2603801299
45,6655739;5000;5000;0,2603801299
45,6675834;5000;5000;0,2603801299
45,6696746;5000;5000;0,2603801299
45,6716151;5000;5000;0,2603801299
45,6736181;5000;5000;0,2603801299
